Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency
16157,Information Technology Project Managers,Monitor or track project milestones and deliverables.,231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,4,2,4,1,2,True,True,False,False,False,False,1,3,2,3,3,False,False,False,True,True,True,True,,
16159,Information Technology Project Managers,"Initiate, review, or approve modifications to project plans.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,1,3,1,3,False,False,False,False,False,False,1,4,3,4,2,False,False,False,False,False,False,False,FALSE,FALSE
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,2,5,2,5,False,False,False,False,False,False,2,3,4,4,4,True,True,True,True,True,True,True,FALSE,
14673,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,2,4,4,3,3,False,False,False,False,False,False,1,4,4,5,2,False,False,False,False,False,False,False,FALSE,FALSE
14687,Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,3,2,4,1,2,False,False,False,True,False,False,1,5,2,4,3,False,False,True,True,False,False,False,,
16152,Information Technology Project Managers,"Submit project deliverables, ensuring adherence to quality standards.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,4,1,3,1,1,True,True,False,False,False,False,1,3,2,4,3,False,True,True,True,True,True,False,,
16170,Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Novice,1,1,3,1,2,False,False,False,False,False,False,1,4,4,4,5,False,True,True,True,True,True,True,FALSE,
16168,Information Technology Project Managers,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,2,4,1,2,False,False,False,False,False,False,1,4,2,4,4,False,False,True,True,True,True,True,FALSE,
14670,Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,3,1,2,1,2,True,True,False,False,False,False,1,5,4,5,2,False,False,False,False,False,False,False,,FALSE
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,5,2,3,1,1,True,True,False,True,False,False,1,3,4,3,2,False,False,False,False,False,False,False,,FALSE
14683,Computer Systems Engineers/Architects,Design and conduct hardware or software tests.,1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,2,1,3,1,3,False,False,False,False,False,False,3,1,2,5,4,True,False,True,False,False,False,False,FALSE,
14671,Computer Systems Engineers/Architects,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,2,1,3,3,3,False,False,False,False,False,False,1,1,2,4,2,False,False,False,False,False,False,False,FALSE,FALSE
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Expert,3,2,3,2,3,False,False,True,True,False,False,4,2,1,4,2,False,False,False,False,False,False,False,,FALSE
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Average,5,3,4,4,2,False,True,False,False,True,False,3,4,3,2,3,False,True,False,True,False,True,False,,
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,2,1,False,True,False,True,False,False,3,4,2,3,3,True,True,False,False,False,True,False,,
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Average,3,3,4,4,2,False,False,False,False,False,False,4,4,2,2,4,False,False,False,True,False,True,False,,
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,4,2,False,False,False,True,False,True,4,2,2,3,3,False,True,True,True,False,False,False,,
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,3,4,False,False,False,False,True,False,4,3,1,4,4,False,False,False,False,False,False,False,,
20950,Computer Systems Analysts,Troubleshoot program and system malfunctions to restore normal functioning.,d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,2025/2/25,Average,3,1,2,2,3,True,False,False,False,False,False,1,1,2,3,2,False,False,False,False,False,False,False,,FALSE
3478,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,2025/2/25,Expert,3,3,3,4,4,False,False,True,False,False,False,3,2,2,3,1,False,False,False,False,False,False,False,,FALSE
3474,Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,2025/2/25,Expert,2,3,3,4,3,False,False,False,False,False,False,3,3,2,3,2,False,False,False,False,False,False,False,FALSE,FALSE
16170,Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",2e027f5b-019e-4215-ae3c-180cf6c576ff,2025/1/22,Expert,5,5,5,5,5,False,False,True,False,False,False,5,5,5,5,5,False,False,True,False,False,False,False,,
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,2e027f5b-019e-4215-ae3c-180cf6c576ff,2025/1/22,Expert,5,5,5,5,5,False,False,True,False,False,False,5,5,5,5,5,False,False,False,True,False,False,False,,
3465,Computer Systems Analysts,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,2025/2/25,Novice,1,2,3,2,3,False,False,False,False,False,False,2,2,3,2,2,False,False,False,False,False,False,False,FALSE,FALSE
3466,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,2025/2/25,Average,3,1,2,4,3,False,False,True,False,False,False,2,2,3,3,2,False,False,False,False,False,False,False,,FALSE
3480,Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,2025/2/25,Expert,4,1,3,1,1,False,False,True,False,False,True,4,1,4,1,2,False,False,False,False,False,False,False,,FALSE
3484,Computer Systems Analysts,Specify inputs accessed by the system and plan the distribution and use of the results.,d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,2025/2/25,Average,2,2,1,1,2,False,False,False,False,False,False,2,3,2,2,2,False,False,False,False,False,False,False,FALSE,FALSE
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,2025/2/15,Expert,4,1,1,1,1,True,True,True,True,False,True,1,4,3,4,3,False,False,False,False,False,False,False,,FALSE
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,2025/2/15,Expert,4,1,1,1,1,True,True,False,False,False,False,1,1,1,4,1,False,False,False,False,False,False,False,,FALSE
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,ac9969bb-e13d-408a-8092-ef8eee5ad2f5,2025/2/15,Expert,3,1,1,1,1,True,True,False,False,False,False,1,1,1,1,2,False,False,False,False,False,False,False,,FALSE
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,77912bd1-921b-40b8-9c9c-f80822a6a40a,2025/2/15,Novice,5,2,3,2,1,True,True,True,True,True,True,3,2,1,3,3,False,False,False,False,False,False,False,,FALSE
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025/2/15,Average,3,1,1,1,1,False,False,False,False,False,False,2,5,3,3,4,False,False,False,False,False,False,False,"It is not my responsibility, but some time gets handed to me to focus on",FALSE
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025/2/15,Expert,2,3,4,4,3,False,False,False,False,False,False,1,2,2,4,2,False,False,False,False,False,False,False,FALSE,FALSE
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025/2/15,Average,4,2,4,1,4,False,False,True,False,False,True,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025/2/15,Expert,1,3,4,3,3,False,False,False,False,False,False,3,4,2,2,4,False,False,False,False,False,False,False,FALSE,FALSE
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025/2/15,Average,3,1,1,1,1,False,True,True,False,False,True,1,4,1,2,3,False,False,False,False,False,False,False,,FALSE
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",f7d12a48-ce3a-495e-a132-f4b10ca073ac,2025/2/15,Expert,2,4,4,5,4,False,False,False,False,False,False,1,3,4,2,3,False,False,False,False,False,False,False,FALSE,FALSE
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",c341e4cc-eb09-476d-977b-1bd44b8ef293,2025/2/15,Average,5,2,1,3,2,False,False,True,False,False,False,3,2,2,3,2,False,False,False,False,False,False,False,,FALSE
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,c341e4cc-eb09-476d-977b-1bd44b8ef293,2025/2/15,Novice,3,2,2,4,2,False,False,False,False,True,True,2,1,5,2,2,False,False,False,False,False,False,False,,FALSE
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,c341e4cc-eb09-476d-977b-1bd44b8ef293,2025/2/15,Average,2,3,2,1,2,False,False,False,False,False,False,2,5,3,2,2,False,False,False,False,False,False,False,FALSE,FALSE
3465,Computer Systems Analysts,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",fa785f60-af5d-4322-94ee-6cd65d98e86c,2025/2/25,Average,3,1,1,2,4,True,True,False,False,False,False,2,3,3,4,3,False,False,False,False,True,False,False,,
3466,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",fa785f60-af5d-4322-94ee-6cd65d98e86c,2025/2/25,Novice,4,1,1,1,3,False,False,True,False,False,False,1,1,1,3,2,False,False,False,False,False,False,False,,FALSE
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,af21c46a-23b2-409e-8aa7-a52ae72f4c7a,2025/2/15,Average,4,1,3,2,2,False,True,True,False,False,False,3,4,3,3,3,False,False,False,False,False,False,False,,FALSE
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",af21c46a-23b2-409e-8aa7-a52ae72f4c7a,2025/2/15,Expert,1,3,4,4,3,False,False,False,False,False,False,3,4,4,4,3,False,False,False,False,False,False,False,FALSE,FALSE
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025/2/15,Expert,4,2,1,1,1,True,True,False,False,False,True,1,3,2,2,3,False,False,False,False,False,False,False,,FALSE
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025/2/15,Average,5,1,1,1,1,True,True,False,False,False,True,1,3,2,2,2,False,False,False,False,False,False,False,,FALSE
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025/2/15,Average,4,1,2,2,3,True,False,False,False,True,False,1,3,4,4,3,False,False,False,False,False,False,False,,FALSE
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025/2/15,Average,5,1,1,1,2,False,True,False,True,False,True,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE
974,Computer and Information Systems Managers,Control operational budget and expenditures.,6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025/2/15,Average,3,2,4,3,4,False,False,False,True,True,False,1,4,5,4,4,False,False,False,False,False,False,False,,FALSE
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,2025/2/15,Expert,5,1,1,1,1,True,True,False,False,False,True,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025/2/15,Expert,2,3,4,3,4,False,False,False,False,False,False,1,2,2,3,2,False,False,False,False,False,False,False,FALSE,FALSE
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025/2/15,Expert,2,2,3,1,4,False,False,False,False,False,False,2,2,1,1,1,False,False,False,False,False,False,False,FALSE,FALSE
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025/2/15,Expert,2,3,4,3,4,False,False,False,False,False,False,2,3,4,3,2,False,False,False,False,False,False,False,FALSE,FALSE
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025/2/15,Average,1,1,3,1,4,False,False,False,False,False,False,3,3,4,4,1,False,False,False,False,False,False,False,FALSE,FALSE
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025/2/15,Average,2,1,4,3,3,False,False,False,False,False,False,2,3,3,2,2,False,False,False,False,False,False,False,FALSE,FALSE
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",4ef074b3-f5e8-4480-bc48-bc3e68fda386,2025/2/15,Expert,2,3,4,4,3,False,False,False,False,False,False,4,4,1,2,2,False,False,False,False,False,False,False,FALSE,FALSE
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",9d0bdd60-4ab5-416a-8231-fdcdc4b92b32,2025/2/15,Average,3,2,4,1,3,True,False,False,False,False,True,2,3,3,4,3,False,False,False,False,False,False,False,,FALSE
