Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Automation Capacity Rating,Physical Action Requirement,Involved Uncertainty,Domain Expertise Requirement,Interpersonal Communication Requirement,Human Agency Scale Rating
14633,Computer and Information Research Scientists,Design computers and the software that runs them.,YellowZebra,2025/4/5,3,1,2,4,2,2
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,YellowZebra,2025/4/5,2,1,3,4,4,4
14681,Computer Systems Engineers/Architects,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",YellowZebra,2025/4/5,4,1,2,2,1,2
14623,Computer and Information Research Scientists,Analyze problems to develop solutions involving computer hardware and software.,YellowZebra,2025/4/5,2,1,2,4,2,3
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",YellowZebra,2025/4/5,2,1,2,4,3,5
14633,Computer and Information Research Scientists,Design computers and the software that runs them.,GreenElephant,2025/4/5,2,3,4,4,4,4
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,GreenElephant,2025/4/5,2,3,4,4,4,4
14681,Computer Systems Engineers/Architects,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",GreenElephant,2025/4/5,2,3,4,4,4,4
14673,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",YellowZebra,2025/4/5,3,1,2,3,3,3
3478,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",YellowZebra,2025/4/5,5,1,1,2,2,1
3480,Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",YellowZebra,2025/4/5,5,1,1,2,1,1
3474,Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",YellowZebra,2025/4/5,3,1,3,3,3,3
16171,Information Technology Project Managers,Develop and manage work breakdown structure (WBS) of information technology projects.,YellowZebra,2025/4/5,2,1,4,4,4,4
16159,Information Technology Project Managers,"Initiate, review, or approve modifications to project plans.",YellowZebra,2025/4/5,3,1,4,4,4,3
14624,Computer and Information Research Scientists,Assign or schedule tasks to meet work priorities and goals.,YellowZebra,2025/4/5,3,1,3,3,3,3
14626,Computer and Information Research Scientists,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",YellowZebra,2025/4/5,2,1,4,4,4,5
16168,Information Technology Project Managers,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",YellowZebra,2025/4/5,4,1,2,3,3,2
20950,Computer Systems Analysts,Troubleshoot program and system malfunctions to restore normal functioning.,YellowZebra,2025/4/5,4,1,2,3,2,2
14672,Computer Systems Engineers/Architects,Provide technical guidance or support for the development or troubleshooting of systems.,YellowZebra,2025/4/5,3,1,3,3,3,2
14671,Computer Systems Engineers/Architects,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",YellowZebra,2025/4/5,3,1,3,3,2,3
16170,Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",YellowZebra,2025/4/5,2,1,4,4,4,5
14687,Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",YellowZebra,2025/4/5,3,1,1,2,5,2
14670,Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,YellowZebra,2025/4/5,3,1,2,4,4,4
14686,Computer Systems Engineers/Architects,"Research, test, or verify proper functioning of software patches and fixes.",YellowZebra,2025/4/5,4,1,2,3,2,2
3466,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",YellowZebra,2025/4/5,5,1,1,3,1,1
16157,Information Technology Project Managers,Monitor or track project milestones and deliverables.,YellowZebra,2025/4/5,2,1,3,3,5,4
16167,Information Technology Project Managers,"Assign duties, responsibilities, and spans of authority to project personnel.",YellowZebra,2025/4/5,2,1,4,4,4,5
16152,Information Technology Project Managers,"Submit project deliverables, ensuring adherence to quality standards.",YellowZebra,2025/4/5,3,1,2,2,4,3
3482,Computer Systems Analysts,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",YellowZebra,2025/4/5,3,1,2,3,3,3
3484,Computer Systems Analysts,Specify inputs accessed by the system and plan the distribution and use of the results.,YellowZebra,2025/4/5,4,1,1,3,1,2
14623,Computer and Information Research Scientists,Analyze problems to develop solutions involving computer hardware and software.,GreenElephant,2025/4/6,3,2,3,3,2,4
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",GreenElephant,2025/4/6,2,3,4,4,4,5
3470,Computer Systems Analysts,Expand or modify system to serve new purposes or improve work flow.,GreenElephant,2025/4/6,3,3,3,4,2,4
14675,Computer Systems Engineers/Architects,Monitor system operation to detect potential problems.,GreenElephant,2025/4/6,3,3,3,3,2,4
14625,Computer and Information Research Scientists,Evaluate project plans and proposals to assess feasibility issues.,GreenElephant,2025/4/6,3,2,3,3,2,4
