O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
11-3021.00,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,Core,07/2016,3.0,3.0,4.08,99.97,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3021.00,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,07/2016,5.0,5.0,4.04,92.97,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3021.00,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,07/2016,3.0,3.0,3.94,81.61,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2']
11-3021.00,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,Core,07/2016,4.0,4.0,3.88,100.0,187990.0,645970.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-3021.00,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,Core,07/2016,3.0,3.0,3.68,87.19,187990.0,645970.0,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.1', '4.A.2.a.1']"
11-3021.00,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,Core,07/2016,5.0,5.0,3.63,95.71,187990.0,645970.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-3021.00,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,07/2016,3.0,3.0,3.59,70.83,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3021.00,Computer and Information Systems Managers,974,Control operational budget and expenditures.,Core,07/2016,3.0,3.0,3.53,84.33,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3021.00,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",Supplemental,07/2016,5.0,5.0,4.19,65.58,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2']
15-1211.00,Computer Systems Analysts,20950,Troubleshoot program and system malfunctions to restore normal functioning.,Core,08/2023,3.0,3.0,4.24,98.82,111960.0,497800.0,['Working with Computers'],['4.A.3.b.1']
15-1211.00,Computer Systems Analysts,3465,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",Core,08/2023,5.0,5.0,4.0,90.01,111960.0,497800.0,"['Monitoring Processes, Materials, or Surroundings', 'Inspecting Equipment, Structures, or Materials', 'Guiding, Directing, and Motivating Subordinates']","['4.A.1.a.2', '4.A.1.b.2', '4.A.4.b.4']"
15-1211.00,Computer Systems Analysts,3482,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",Core,08/2023,5.0,5.0,3.97,90.87,111960.0,497800.0,['Thinking Creatively'],['4.A.2.b.2']
15-1211.00,Computer Systems Analysts,3466,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",Core,08/2023,6.0,6.0,3.71,88.2,111960.0,497800.0,['Working with Computers'],['4.A.3.b.1']
15-1211.00,Computer Systems Analysts,3474,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",Core,08/2023,5.0,5.0,3.6,78.19,111960.0,497800.0,"['Analyzing Data or Information', 'Thinking Creatively']","['4.A.2.a.4', '4.A.2.b.2']"
15-1211.00,Computer Systems Analysts,3484,Specify inputs accessed by the system and plan the distribution and use of the results.,Core,08/2023,4.0,4.0,3.48,71.13,111960.0,497800.0,"['Making Decisions and Solving Problems', 'Thinking Creatively']","['4.A.2.b.1', '4.A.2.b.2']"
15-1211.00,Computer Systems Analysts,3470,Expand or modify system to serve new purposes or improve work flow.,Core,08/2023,3.0,3.0,3.47,85.73,111960.0,497800.0,['Thinking Creatively'],['4.A.2.b.2']
15-1211.00,Computer Systems Analysts,3480,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",Core,08/2023,3.0,3.0,3.21,76.98,111960.0,497800.0,['Getting Information'],['4.A.1.a.1']
15-1211.00,Computer Systems Analysts,3478,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Supplemental,08/2023,3.0,3.0,3.6,65.95,111960.0,497800.0,['Analyzing Data or Information'],['4.A.2.a.4']
15-1221.00,Computer and Information Research Scientists,14623,Analyze problems to develop solutions involving computer hardware and software.,Core,08/2019,5.0,5.0,4.24,96.77,152310.0,38480.0,['Analyzing Data or Information'],['4.A.2.a.4']
15-1221.00,Computer and Information Research Scientists,14626,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",Core,08/2019,5.0,5.0,3.89,83.84,152310.0,38480.0,['Thinking Creatively'],['4.A.2.b.2']
15-1221.00,Computer and Information Research Scientists,14624,Assign or schedule tasks to meet work priorities and goals.,Core,08/2019,3.0,3.0,3.76,82.77,152310.0,38480.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
15-1221.00,Computer and Information Research Scientists,14633,Design computers and the software that runs them.,Core,08/2019,7.0,7.0,3.63,80.36,152310.0,38480.0,['Thinking Creatively'],['4.A.2.b.2']
15-1221.00,Computer and Information Research Scientists,14625,Evaluate project plans and proposals to assess feasibility issues.,Core,08/2019,3.0,3.0,3.46,83.23,152310.0,38480.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
15-1221.00,Computer and Information Research Scientists,14636,"Approve, prepare, monitor, and adjust operational budgets.",Supplemental,08/2019,3.0,3.0,2.77,63.71,152310.0,38480.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
15-1299.08,Computer Systems Engineers/Architects,14677,"Investigate system component suitability for specified purposes, and make recommendations regarding component use.",Core,08/2024,5.0,5.0,4.19,95.45,,,"['Judging the Qualities of Objects, Services, or People', 'Providing Consultation and Advice to Others']","['4.A.2.a.1', '4.A.4.b.6']"
15-1299.08,Computer Systems Engineers/Architects,14675,Monitor system operation to detect potential problems.,Core,08/2024,5.0,5.0,4.09,100.0,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
15-1299.08,Computer Systems Engineers/Architects,14673,"Identify system data, hardware, or software components required to meet user needs.",Core,08/2024,3.0,3.0,3.95,100.0,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
15-1299.08,Computer Systems Engineers/Architects,14686,"Research, test, or verify proper functioning of software patches and fixes.",Core,08/2024,3.0,3.0,3.91,100.0,,,"['Getting Information', 'Inspecting Equipment, Structures, or Materials']","['4.A.1.a.1', '4.A.1.b.2']"
15-1299.08,Computer Systems Engineers/Architects,14670,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,Core,08/2024,3.0,3.0,3.81,100.0,,,"['Communicating with Supervisors, Peers, or Subordinates', 'Guiding, Directing, and Motivating Subordinates']","['4.A.4.a.2', '4.A.4.b.4']"
15-1299.08,Computer Systems Engineers/Architects,14683,Design and conduct hardware or software tests.,Core,08/2024,4.0,4.0,3.73,100.0,,,"['Inspecting Equipment, Structures, or Materials']",['4.A.1.b.2']
15-1299.08,Computer Systems Engineers/Architects,14672,Provide technical guidance or support for the development or troubleshooting of systems.,Core,08/2024,5.0,5.0,3.64,100.0,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
